Anexo VI;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;
Redes de Ensino Beneficiadas e Valores Distribuídos - Complementação da União-VAAR Ano de 2026 (art. 16, inciso VIII, da Lei nº 14.113/2020);;;;
;;;;
UF;Ente Federado;Código IBGE;" Coeficientes de distribuição da complementação
da União-VAAR "; Complementação da União-VAAR (R$) 
RS;ACEGUA;4300034;0,000036632777;275.702,60
RS;AJURICABA;4300208;0,000058348180;439.135,29
RS;ALECRIM;4300307;0,000018697597;140.720,3
RS;ALEGRIA;4300455;0,000032697351;246.084,12
RS;ALPESTRE;4300505;0,000071844772;540.712,23
RS;ALTO ALEGRE;4300554;0,000006420328;48.320,2
RS;ALTO FELIZ;4300570;0,000041028483;308.785,21
RS;ANTA GORDA;4300703;0,000013549793;101.977,34
RS;ARATIBA;4300901;0,000067944417;511.357,70
RS;ARROIO DO MEIO;4301008;0,000315128616;2.371.695,15
RS;ARROIO DO TIGRE;4301206;0,000125384749;943.660,42
RS;ARROIO GRANDE;4301305;0,000120123574;904.064,19
RS;BARAO DE COTEGIPE;4301701;0,000029514729;222.131,33
RS;BARRA DO GUARITA;4301859;0,000044182874;332.525,52
RS;BARRA DO RIBEIRO;4301909;0,000076663370;576.977,57
RS;BARRACAO;4301800;0,000059225947;445.741,47
RS;BARROS CASSAL;4302006;0,000073313677;551.767,39
RS;BENJAMIN CONSTANT DO SUL;4302055;0,000012694926;95.543,51
RS;BOA VISTA DAS MISSOES;4302154;0,000027987165;210.634,71
RS;BOA VISTA DO BURICA;4302204;0,000044486209;334.808,5
RS;BOA VISTA DO CADEADO;4302220;0,000029008154;218.318,79
RS;BOM PROGRESSO;4302378;0,000013336087;100.368,96
RS;BOM RETIRO DO SUL;4302402;0,000164087276;1.234.940,20
RS;BOZANO;4302584;0,000008179973;61.563,4
RS;BROCHIER;4302659;0,000048664008;366.251,07
RS;BUTIA;4302709;0,000212743904;1.601.135,73
RS;CACHOEIRINHA;4303103;0,001347622917;10.142.369,11
RS;CAIBATE;4303301;0,000041546983;312.687,50
RS;CAICARA;4303400;0,000004948725;37.244,69
RS;CAMARGO;4303558;0,000017834244;134.222,6
RS;CAMPINA DAS MISSOES;4303707;0,000059537571;448.086,8
RS;CAMPINAS DO SUL;4303806;0,000020098605;151.264,5
RS;CAMPO BOM;4303905;0,000457794079;3.445.412,27
RS;CAMPO NOVO;4304002;0,000047075807;354.298,08
RS;CAMPOS BORGES;4304101;0,000035459036;266.868,89
RS;CANDELARIA;4304200;0,000251193787;1.890.514,09
RS;CANDIDO GODOI;4304309;0,000055116629;414.814,25
RS;CANELA;4304408;0,000256400290;1.929.698,84
RS;CANGUCU;4304507;0,000454067441;3.417.365,15
