;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Indicadores de atendimento e aprendizagem VAAR para o Fundeb 2026;;;;;;
;;;;;;
UF;Ente Federado;"Código
IBGE";"Evoluiu
Atendiment";"Indicador
Atendimento";"Evoluiu
Aprendizagem";"Indicador
Aprendizagem"
RS;ACEGUA;4300034;Sim;0,993421;Não;1,850463
RS;AGUA SANTA;4300059;Sim;0,986985;Não;1,409856
RS;AGUDO;4300109;Sim;0,989273;Não;1,111642
RS;AJURICABA;4300208;Sim;0,998864;Sim;3,23
RS;ALECRIM;4300307;Sim;0,998106;Não;0,00
RS;ALEGRETE;4300406;Sim;0,988533;Sim;0,881972
RS;ALEGRIA;4300455;Sim;0,988402;Sim;2,11
RS;ALMIRANTE TAMANDARE DO SUL;4300471;Sim;0,984812;Não;0,00
RS;ALPESTRE;4300505;Sim;0,995468;Sim;2,56
RS;ALTO ALEGRE;4300554;Sim;1,00;Não;0,00
RS;ALTO FELIZ;4300570;Sim;0,995066;Sim;3,55
RS;ALVORADA;4300604;Sim;0,986867;Não;1,140691
RS;AMARAL FERRADOR;4300638;Sim;0,992322;Não;0,252096
RS;AMETISTA DO SUL;4300646;Sim;0,997031;Não;1,467772
RS;ANDRE DA ROCHA;4300661;Sim;0,979167;Não;2,88
RS;ANTA GORDA;4300703;Sim;0,988426;Não;0,00
RS;ANTONIO PRADO;4300802;Sim;0,990574;Não;1,725531
RS;ARAMBARE;4300851;Sim;0,992168;Não;0,865434
RS;ARARICA;4300877;Sim;0,99852;Sim;2,00
RS;ARATIBA;4300901;Sim;0,995455;Sim;3,26
RS;ARROIO DO MEIO;4301008;Sim;0,984681;Sim;2,45
RS;ARROIO DO PADRE;4301073;Sim;0,997305;Sim;1,494635
RS;ARROIO DO SAL;4301057;Sim;0,987105;Não;1,318275
RS;ARROIO DO TIGRE;4301206;Sim;0,99558;Sim;1,546666
RS;ARROIO DOS RATOS;4301107;Sim;0,9895;Não;0,815052
RS;ARROIO GRANDE;4301305;Sim;0,984443;Sim;1,228821
RS;ARVOREZINHA;4301404;Sim;0,9847;Sim;1,475254
RS;AUGUSTO PESTANA;4301503;Sim;0,99375;Não;3,01
RS;AUREA;4301552;Sim;0,993402;Não;0,657155
RS;BAGE;4301602;Não;0,985848;Sim;1,308186
RS;BALNEARIO PINHAL;4301636;Sim;0,983359;Sim;1,234666
RS;BARAO;4301651;Sim;0,994271;Não;2,04
RS;BARAO DE COTEGIPE;4301701;Sim;0,995249;Não;2,73
RS;BARAO DO TRIUNFO;4301750;Sim;0,995831;Sim;0,723243
RS;BARRA DO GUARITA;4301859;Sim;1,00;Sim;0,823684
RS;BARRA DO QUARAI;4301875;Sim;0,988142;Sim;1,433251
RS;BARRA DO RIBEIRO;4301909;Sim;0,976202;Sim;0,950762
RS;BARRA DO RIO AZUL;4301925;Não;0,979167;Não;0,00
RS;BARRA FUNDA;4301958;Sim;1,00;Não;1,638442
RS;BARRACAO;4301800;Sim;0,994048;Sim;1,649376
RS;BARROS CASSAL;4302006;Sim;0,986834;Sim;0,5915
RS;BENJAMIN CONSTANT DO SUL;4302055;Sim;0,991346;Não;0,00
RS;BENTO GONCALVES;4302105;Sim;0,993845;Não;2,07
RS;BOA VISTA DAS MISSOES;4302154;Sim;0,980633;Sim;0,387572
RS;BOA VISTA DO BURICA;4302204;Não;0,868246;Sim;2,47
RS;BOA VISTA DO CADEADO;4302220;Sim;0,996296;Sim;2,02
RS;BOA VISTA DO INCRA;4302238;Sim;0,995243;Sim;2,82
RS;BOA VISTA DO SUL;4302253;Sim;0,99359;Sim;2,20
RS;BOM JESUS;4302303;Sim;0,991522;Sim;1,292241
RS;BOM PRINCIPIO;4302352;Sim;0,993015;Não;1,852913
RS;BOM PROGRESSO;4302378;Sim;0,995763;Não;0,00
RS;BOM RETIRO DO SUL;4302402;Sim;0,986822;Sim;2,44
RS;BOQUEIRAO DO LEAO;4302451;Sim;0,970609;Não;0,00
RS;BOSSOROCA;4302501;Sim;0,985369;Sim;1,018611
